,BVP,time
0,-145.42,2022-10-26 16:22:50.093750
1,-132.87,2022-10-26 16:22:50.109375
2,-121.1,2022-10-26 16:22:50.125000
3,-108.47,2022-10-26 16:22:50.140625
4,-94.12,2022-10-26 16:22:50.156250
5,-78.55,2022-10-26 16:22:50.171875
6,-63.42,2022-10-26 16:22:50.187500
7,-50.82,2022-10-26 16:22:50.203125
8,-42.11,2022-10-26 16:22:50.218750
9,-37.17,2022-10-26 16:22:50.234375
10,-34.32,2022-10-26 16:22:50.250000
11,-31.08,2022-10-26 16:22:50.265625
12,-25.3,2022-10-26 16:22:50.281250
13,-16.12,2022-10-26 16:22:50.296875
14,-4.32,2022-10-26 16:22:50.312500
15,8.13,2022-10-26 16:22:50.328125
16,18.96,2022-10-26 16:22:50.343750
17,26.48,2022-10-26 16:22:50.359375
18,30.19,2022-10-26 16:22:50.375000
19,30.67,2022-10-26 16:22:50.390625
20,29.31,2022-10-26 16:22:50.406250
21,27.61,2022-10-26 16:22:50.421875
22,26.73,2022-10-26 16:22:50.437500
23,27.04,2022-10-26 16:22:50.453125
24,27.91,2022-10-26 16:22:50.468750
25,27.81,2022-10-26 16:22:50.484375
26,24.73,2022-10-26 16:22:50.500000
27,16.73,2022-10-26 16:22:50.515625
28,2.54,2022-10-26 16:22:50.531250
29,-17.91,2022-10-26 16:22:50.546875
30,-43.24,2022-10-26 16:22:50.562500
31,-70.48,2022-10-26 16:22:50.578125
32,-95.51,2022-10-26 16:22:50.593750
33,-113.84,2022-10-26 16:22:50.609375
34,-121.72,2022-10-26 16:22:50.625000
35,-117.36,2022-10-26 16:22:50.640625
36,-101.72,2022-10-26 16:22:50.656250
37,-78.26,2022-10-26 16:22:50.671875
38,-51.87,2022-10-26 16:22:50.687500
39,-27.11,2022-10-26 16:22:50.703125
40,-6.77,2022-10-26 16:22:50.718750
41,8.7,2022-10-26 16:22:50.734375
42,20.6,2022-10-26 16:22:50.750000
43,30.79,2022-10-26 16:22:50.765625
44,40.62,2022-10-26 16:22:50.781250
45,50.62,2022-10-26 16:22:50.796875
46,60.97,2022-10-26 16:22:50.812500
47,72.31,2022-10-26 16:22:50.828125
48,86.18,2022-10-26 16:22:50.843750
49,104.6,2022-10-26 16:22:50.859375
50,128.9,2022-10-26 16:22:50.875000
51,158.29,2022-10-26 16:22:50.890625
52,189.16,2022-10-26 16:22:50.906250
53,215.43,2022-10-26 16:22:50.921875
54,230.3,2022-10-26 16:22:50.937500
55,228.47,2022-10-26 16:22:50.953125
56,207.95,2022-10-26 16:22:50.968750
57,170.34,2022-10-26 16:22:50.984375
58,119.68,2022-10-26 16:22:51.000000
59,60.57,2022-10-26 16:22:51.015625
60,-3.33,2022-10-26 16:22:51.031250
61,-69.62,2022-10-26 16:22:51.046875
62,-136.41,2022-10-26 16:22:51.062500
63,-201.03,2022-10-26 16:22:51.078125
64,-259.7,2022-10-26 16:22:51.093750
65,-308.14,2022-10-26 16:22:51.109375
66,-343.21,2022-10-26 16:22:51.125000
67,-364.15,2022-10-26 16:22:51.140625
68,-372.75,2022-10-26 16:22:51.156250
69,-372.21,2022-10-26 16:22:51.171875
70,-365.45,2022-10-26 16:22:51.187500
71,-353.77,2022-10-26 16:22:51.203125
72,-336.66,2022-10-26 16:22:51.218750
73,-312.49,2022-10-26 16:22:51.234375
74,-279.71,2022-10-26 16:22:51.250000
75,-237.93,2022-10-26 16:22:51.265625
76,-188.47,2022-10-26 16:22:51.281250
77,-134.28,2022-10-26 16:22:51.296875
78,-79.22,2022-10-26 16:22:51.312500
79,-27.15,2022-10-26 16:22:51.328125
