,BVP,time
0,350.75,2022-10-26 10:26:15.312500
1,282.22,2022-10-26 10:26:15.328125
2,212.65,2022-10-26 10:26:15.343750
3,148.54,2022-10-26 10:26:15.359375
4,95.24,2022-10-26 10:26:15.375000
5,55.87,2022-10-26 10:26:15.390625
6,29.99,2022-10-26 10:26:15.406250
7,14.74,2022-10-26 10:26:15.421875
8,6.26,2022-10-26 10:26:15.437500
9,1.07,2022-10-26 10:26:15.453125
10,-3.62,2022-10-26 10:26:15.468750
11,-11.37,2022-10-26 10:26:15.484375
12,-25.73,2022-10-26 10:26:15.500000
13,-49.4,2022-10-26 10:26:15.515625
14,-83.17,2022-10-26 10:26:15.531250
15,-125.39,2022-10-26 10:26:15.546875
16,-172.19,2022-10-26 10:26:15.562500
17,-218.57,2022-10-26 10:26:15.578125
18,-258.94,2022-10-26 10:26:15.593750
19,-287.26,2022-10-26 10:26:15.609375
20,-297.16,2022-10-26 10:26:15.625000
21,-283.61,2022-10-26 10:26:15.640625
22,-243.41,2022-10-26 10:26:15.656250
23,-177.78,2022-10-26 10:26:15.671875
24,-92.86,2022-10-26 10:26:15.687500
25,0.53,2022-10-26 10:26:15.703125
26,89.55,2022-10-26 10:26:15.718750
27,163.7,2022-10-26 10:26:15.734375
28,217.13,2022-10-26 10:26:15.750000
29,249.8,2022-10-26 10:26:15.765625
30,267.31,2022-10-26 10:26:15.781250
31,277.0,2022-10-26 10:26:15.796875
32,286.63,2022-10-26 10:26:15.812500
33,302.43,2022-10-26 10:26:15.828125
34,328.73,2022-10-26 10:26:15.843750
35,367.45,2022-10-26 10:26:15.859375
36,416.9,2022-10-26 10:26:15.875000
37,472.48,2022-10-26 10:26:15.890625
38,526.42,2022-10-26 10:26:15.906250
39,569.88,2022-10-26 10:26:15.921875
40,594.21,2022-10-26 10:26:15.937500
41,593.72,2022-10-26 10:26:15.953125
42,567.57,2022-10-26 10:26:15.968750
43,518.26,2022-10-26 10:26:15.984375
44,450.69,2022-10-26 10:26:16.000000
45,370.22,2022-10-26 10:26:16.015625
46,281.34,2022-10-26 10:26:16.031250
47,187.15,2022-10-26 10:26:16.046875
48,88.49,2022-10-26 10:26:16.062500
49,-14.72,2022-10-26 10:26:16.078125
50,-123.54,2022-10-26 10:26:16.093750
51,-237.69,2022-10-26 10:26:16.109375
52,-353.38,2022-10-26 10:26:16.125000
53,-463.19,2022-10-26 10:26:16.140625
54,-556.46,2022-10-26 10:26:16.156250
55,-622.14,2022-10-26 10:26:16.171875
56,-652.25,2022-10-26 10:26:16.187500
57,-644.52,2022-10-26 10:26:16.203125
58,-604.37,2022-10-26 10:26:16.218750
59,-544.32,2022-10-26 10:26:16.234375
60,-480.95,2022-10-26 10:26:16.250000
61,-431.87,2022-10-26 10:26:16.265625
62,-410.36,2022-10-26 10:26:16.281250
63,-422.41,2022-10-26 10:26:16.296875
64,-466.57,2022-10-26 10:26:16.312500
