,TEMP,time
0,31.73,2022-10-26 10:39:41.250
1,31.73,2022-10-26 10:39:41.500
2,31.73,2022-10-26 10:39:41.750
3,31.73,2022-10-26 10:39:42.000
4,31.73,2022-10-26 10:39:42.250
5,31.73,2022-10-26 10:39:42.500
6,31.73,2022-10-26 10:39:42.750
7,31.75,2022-10-26 10:39:43.000
8,31.75,2022-10-26 10:39:43.250
9,31.75,2022-10-26 10:39:43.500
10,31.75,2022-10-26 10:39:43.750
11,31.73,2022-10-26 10:39:44.000
12,31.73,2022-10-26 10:39:44.250
13,31.73,2022-10-26 10:39:44.500
14,31.73,2022-10-26 10:39:44.750
15,31.75,2022-10-26 10:39:45.000
16,31.75,2022-10-26 10:39:45.250
17,31.75,2022-10-26 10:39:45.500
18,31.75,2022-10-26 10:39:45.750
19,31.73,2022-10-26 10:39:46.000
20,31.73,2022-10-26 10:39:46.250
21,31.73,2022-10-26 10:39:46.500
22,31.73,2022-10-26 10:39:46.750
23,31.75,2022-10-26 10:39:47.000
24,31.75,2022-10-26 10:39:47.250
25,31.75,2022-10-26 10:39:47.500
26,31.75,2022-10-26 10:39:47.750
27,31.73,2022-10-26 10:39:48.000
28,31.73,2022-10-26 10:39:48.250
29,31.73,2022-10-26 10:39:48.500
30,31.73,2022-10-26 10:39:48.750
31,31.73,2022-10-26 10:39:49.000
32,31.73,2022-10-26 10:39:49.250
33,31.73,2022-10-26 10:39:49.500
34,31.73,2022-10-26 10:39:49.750
35,31.71,2022-10-26 10:39:50.000
36,31.71,2022-10-26 10:39:50.250
37,31.71,2022-10-26 10:39:50.500
38,31.71,2022-10-26 10:39:50.750
39,31.71,2022-10-26 10:39:51.000
40,31.71,2022-10-26 10:39:51.250
41,31.71,2022-10-26 10:39:51.500
42,31.71,2022-10-26 10:39:51.750
43,31.73,2022-10-26 10:39:52.000
44,31.73,2022-10-26 10:39:52.250
45,31.73,2022-10-26 10:39:52.500
46,31.73,2022-10-26 10:39:52.750
47,31.73,2022-10-26 10:39:53.000
48,31.73,2022-10-26 10:39:53.250
49,31.73,2022-10-26 10:39:53.500
50,31.73,2022-10-26 10:39:53.750
51,31.71,2022-10-26 10:39:54.000
52,31.71,2022-10-26 10:39:54.250
53,31.71,2022-10-26 10:39:54.500
54,31.71,2022-10-26 10:39:54.750
55,31.73,2022-10-26 10:39:55.000
56,31.73,2022-10-26 10:39:55.250
57,31.73,2022-10-26 10:39:55.500
58,31.73,2022-10-26 10:39:55.750
59,31.73,2022-10-26 10:39:56.000
60,31.73,2022-10-26 10:39:56.250
61,31.73,2022-10-26 10:39:56.500
62,31.73,2022-10-26 10:39:56.750
63,31.75,2022-10-26 10:39:57.000
64,31.75,2022-10-26 10:39:57.250
65,31.75,2022-10-26 10:39:57.500
66,31.75,2022-10-26 10:39:57.750
67,31.73,2022-10-26 10:39:58.000
68,31.73,2022-10-26 10:39:58.250
69,31.73,2022-10-26 10:39:58.500
70,31.73,2022-10-26 10:39:58.750
71,31.73,2022-10-26 10:39:59.000
72,31.73,2022-10-26 10:39:59.250
73,31.73,2022-10-26 10:39:59.500
74,31.73,2022-10-26 10:39:59.750
75,31.73,2022-10-26 10:40:00.000
76,31.73,2022-10-26 10:40:00.250
77,31.73,2022-10-26 10:40:00.500
78,31.73,2022-10-26 10:40:00.750
79,31.73,2022-10-26 10:40:01.000
80,31.73,2022-10-26 10:40:01.250
81,31.73,2022-10-26 10:40:01.500
82,31.73,2022-10-26 10:40:01.750
83,31.73,2022-10-26 10:40:02.000
84,31.73,2022-10-26 10:40:02.250
85,31.73,2022-10-26 10:40:02.500
86,31.73,2022-10-26 10:40:02.750
87,31.71,2022-10-26 10:40:03.000
88,31.71,2022-10-26 10:40:03.250
89,31.71,2022-10-26 10:40:03.500
90,31.71,2022-10-26 10:40:03.750
91,31.73,2022-10-26 10:40:04.000
92,31.73,2022-10-26 10:40:04.250
93,31.73,2022-10-26 10:40:04.500
94,31.73,2022-10-26 10:40:04.750
95,31.73,2022-10-26 10:40:05.000
96,31.73,2022-10-26 10:40:05.250
97,31.73,2022-10-26 10:40:05.500
98,31.73,2022-10-26 10:40:05.750
99,31.71,2022-10-26 10:40:06.000
100,31.71,2022-10-26 10:40:06.250
101,31.71,2022-10-26 10:40:06.500
102,31.71,2022-10-26 10:40:06.750
103,31.71,2022-10-26 10:40:07.000
104,31.71,2022-10-26 10:40:07.250
105,31.71,2022-10-26 10:40:07.500
106,31.71,2022-10-26 10:40:07.750
107,31.71,2022-10-26 10:40:08.000
108,31.71,2022-10-26 10:40:08.250
109,31.71,2022-10-26 10:40:08.500
110,31.71,2022-10-26 10:40:08.750
111,31.71,2022-10-26 10:40:09.000
112,31.71,2022-10-26 10:40:09.250
113,31.71,2022-10-26 10:40:09.500
114,31.71,2022-10-26 10:40:09.750
115,31.73,2022-10-26 10:40:10.000
116,31.73,2022-10-26 10:40:10.250
117,31.73,2022-10-26 10:40:10.500
118,31.73,2022-10-26 10:40:10.750
119,31.69,2022-10-26 10:40:11.000
120,31.69,2022-10-26 10:40:11.250
121,31.69,2022-10-26 10:40:11.500
122,31.69,2022-10-26 10:40:11.750
123,31.69,2022-10-26 10:40:12.000
124,31.69,2022-10-26 10:40:12.250
