,BVP,time
0,118.2,2021-12-17 16:56:58.093750
1,105.4,2021-12-17 16:56:58.109375
2,86.42,2021-12-17 16:56:58.125000
3,63.53,2021-12-17 16:56:58.140625
4,40.1,2021-12-17 16:56:58.156250
5,19.24,2021-12-17 16:56:58.171875
6,2.77,2021-12-17 16:56:58.187500
7,-9.12,2021-12-17 16:56:58.203125
8,-17.25,2021-12-17 16:56:58.218750
9,-22.53,2021-12-17 16:56:58.234375
10,-25.36,2021-12-17 16:56:58.250000
11,-25.67,2021-12-17 16:56:58.265625
12,-23.52,2021-12-17 16:56:58.281250
13,-19.64,2021-12-17 16:56:58.296875
14,-15.59,2021-12-17 16:56:58.312500
15,-13.27,2021-12-17 16:56:58.328125
16,-14.17,2021-12-17 16:56:58.343750
17,-18.8,2021-12-17 16:56:58.359375
18,-26.65,2021-12-17 16:56:58.375000
19,-36.65,2021-12-17 16:56:58.390625
20,-47.63,2021-12-17 16:56:58.406250
21,-58.56,2021-12-17 16:56:58.421875
22,-68.6,2021-12-17 16:56:58.437500
23,-77.0,2021-12-17 16:56:58.453125
24,-82.93,2021-12-17 16:56:58.468750
25,-85.71,2021-12-17 16:56:58.484375
26,-84.97,2021-12-17 16:56:58.500000
27,-80.82,2021-12-17 16:56:58.515625
28,-73.91,2021-12-17 16:56:58.531250
29,-65.17,2021-12-17 16:56:58.546875
30,-55.66,2021-12-17 16:56:58.562500
31,-46.29,2021-12-17 16:56:58.578125
32,-37.76,2021-12-17 16:56:58.593750
33,-30.47,2021-12-17 16:56:58.609375
34,-24.56,2021-12-17 16:56:58.625000
35,-19.95,2021-12-17 16:56:58.640625
36,-16.4,2021-12-17 16:56:58.656250
37,-13.7,2021-12-17 16:56:58.671875
38,-11.68,2021-12-17 16:56:58.687500
39,-10.37,2021-12-17 16:56:58.703125
40,-9.91,2021-12-17 16:56:58.718750
41,-10.46,2021-12-17 16:56:58.734375
42,-12.08,2021-12-17 16:56:58.750000
43,-14.64,2021-12-17 16:56:58.765625
44,-17.87,2021-12-17 16:56:58.781250
45,-21.42,2021-12-17 16:56:58.796875
46,-24.98,2021-12-17 16:56:58.812500
47,-28.25,2021-12-17 16:56:58.828125
48,-31.01,2021-12-17 16:56:58.843750
49,-33.09,2021-12-17 16:56:58.859375
50,-34.36,2021-12-17 16:56:58.875000
51,-34.83,2021-12-17 16:56:58.890625
52,-34.75,2021-12-17 16:56:58.906250
53,-34.54,2021-12-17 16:56:58.921875
54,-34.71,2021-12-17 16:56:58.937500
55,-35.61,2021-12-17 16:56:58.953125
56,-37.31,2021-12-17 16:56:58.968750
57,-39.61,2021-12-17 16:56:58.984375
58,-42.14,2021-12-17 16:56:59.000000
59,-44.54,2021-12-17 16:56:59.015625
60,-46.8,2021-12-17 16:56:59.031250
61,-49.22,2021-12-17 16:56:59.046875
62,-52.31,2021-12-17 16:56:59.062500
63,-56.48,2021-12-17 16:56:59.078125
64,-61.81,2021-12-17 16:56:59.093750
65,-67.84,2021-12-17 16:56:59.109375
66,-73.68,2021-12-17 16:56:59.125000
67,-78.07,2021-12-17 16:56:59.140625
68,-79.37,2021-12-17 16:56:59.156250
69,-75.69,2021-12-17 16:56:59.171875
70,-65.09,2021-12-17 16:56:59.187500
71,-46.03,2021-12-17 16:56:59.203125
72,-18.09,2021-12-17 16:56:59.218750
73,17.41,2021-12-17 16:56:59.234375
74,57.18,2021-12-17 16:56:59.250000
75,96.42,2021-12-17 16:56:59.265625
76,130.07,2021-12-17 16:56:59.281250
77,154.21,2021-12-17 16:56:59.296875
78,166.95,2021-12-17 16:56:59.312500
79,168.43,2021-12-17 16:56:59.328125
80,160.1,2021-12-17 16:56:59.343750
81,143.89,2021-12-17 16:56:59.359375
82,121.76,2021-12-17 16:56:59.375000
83,95.97,2021-12-17 16:56:59.390625
84,69.41,2021-12-17 16:56:59.406250
85,45.48,2021-12-17 16:56:59.421875
86,27.15,2021-12-17 16:56:59.437500
87,15.77,2021-12-17 16:56:59.453125
88,10.28,2021-12-17 16:56:59.468750
89,7.7,2021-12-17 16:56:59.484375
90,4.61,2021-12-17 16:56:59.500000
91,-0.99,2021-12-17 16:56:59.515625
92,-8.63,2021-12-17 16:56:59.531250
93,-15.9,2021-12-17 16:56:59.546875
94,-20.08,2021-12-17 16:56:59.562500
95,-20.08,2021-12-17 16:56:59.578125
96,-17.35,2021-12-17 16:56:59.593750
97,-15.35,2021-12-17 16:56:59.609375
98,-18.02,2021-12-17 16:56:59.625000
99,-27.8,2021-12-17 16:56:59.640625
100,-44.46,2021-12-17 16:56:59.656250
101,-64.9,2021-12-17 16:56:59.671875
102,-84.34,2021-12-17 16:56:59.687500
103,-98.13,2021-12-17 16:56:59.703125
104,-103.45,2021-12-17 16:56:59.718750
105,-100.04,2021-12-17 16:56:59.734375
106,-89.96,2021-12-17 16:56:59.750000
