,BVP,time
0,-49.78,2021-12-17 17:46:21.781250
1,-54.48,2021-12-17 17:46:21.796875
2,-59.87,2021-12-17 17:46:21.812500
3,-65.31,2021-12-17 17:46:21.828125
4,-69.72,2021-12-17 17:46:21.843750
5,-71.87,2021-12-17 17:46:21.859375
6,-70.85,2021-12-17 17:46:21.875000
7,-66.46,2021-12-17 17:46:21.890625
8,-59.3,2021-12-17 17:46:21.906250
9,-50.6,2021-12-17 17:46:21.921875
10,-41.59,2021-12-17 17:46:21.937500
11,-33.22,2021-12-17 17:46:21.953125
12,-25.71,2021-12-17 17:46:21.968750
13,-18.76,2021-12-17 17:46:21.984375
14,-11.6,2021-12-17 17:46:22.000000
15,-3.36,2021-12-17 17:46:22.015625
16,6.68,2021-12-17 17:46:22.031250
17,18.88,2021-12-17 17:46:22.046875
18,33.14,2021-12-17 17:46:22.062500
19,48.85,2021-12-17 17:46:22.078125
20,64.97,2021-12-17 17:46:22.093750
21,80.39,2021-12-17 17:46:22.109375
22,94.22,2021-12-17 17:46:22.125000
23,106.27,2021-12-17 17:46:22.140625
24,117.02,2021-12-17 17:46:22.156250
25,127.34,2021-12-17 17:46:22.171875
26,137.83,2021-12-17 17:46:22.187500
27,148.3,2021-12-17 17:46:22.203125
28,157.7,2021-12-17 17:46:22.218750
29,164.59,2021-12-17 17:46:22.234375
30,167.9,2021-12-17 17:46:22.250000
31,167.71,2021-12-17 17:46:22.265625
32,165.55,2021-12-17 17:46:22.281250
33,163.92,2021-12-17 17:46:22.296875
34,165.25,2021-12-17 17:46:22.312500
35,170.67,2021-12-17 17:46:22.328125
36,179.25,2021-12-17 17:46:22.343750
37,188.13,2021-12-17 17:46:22.359375
38,193.47,2021-12-17 17:46:22.375000
39,191.97,2021-12-17 17:46:22.390625
40,182.27,2021-12-17 17:46:22.406250
41,165.56,2021-12-17 17:46:22.421875
42,145.28,2021-12-17 17:46:22.437500
43,126.01,2021-12-17 17:46:22.453125
44,112.03,2021-12-17 17:46:22.468750
45,105.74,2021-12-17 17:46:22.484375
46,106.7,2021-12-17 17:46:22.500000
47,111.32,2021-12-17 17:46:22.515625
48,113.53,2021-12-17 17:46:22.531250
49,106.35,2021-12-17 17:46:22.546875
50,84.04,2021-12-17 17:46:22.562500
51,44.29,2021-12-17 17:46:22.578125
52,-10.73,2021-12-17 17:46:22.593750
53,-74.68,2021-12-17 17:46:22.609375
54,-138.84,2021-12-17 17:46:22.625000
55,-194.94,2021-12-17 17:46:22.640625
56,-237.51,2021-12-17 17:46:22.656250
57,-265.11,2021-12-17 17:46:22.671875
58,-280.14,2021-12-17 17:46:22.687500
59,-287.2,2021-12-17 17:46:22.703125
60,-290.97,2021-12-17 17:46:22.718750
61,-294.37,2021-12-17 17:46:22.734375
62,-297.27,2021-12-17 17:46:22.750000
63,-296.42,2021-12-17 17:46:22.765625
64,-286.45,2021-12-17 17:46:22.781250
65,-261.87,2021-12-17 17:46:22.796875
66,-219.73,2021-12-17 17:46:22.812500
67,-161.67,2021-12-17 17:46:22.828125
68,-94.29,2021-12-17 17:46:22.843750
69,-27.42,2021-12-17 17:46:22.859375
70,29.02,2021-12-17 17:46:22.875000
71,68.26,2021-12-17 17:46:22.890625
72,88.36,2021-12-17 17:46:22.906250
