,BVP,time
0,24.02,2021-12-17 16:56:38.390625
1,7.88,2021-12-17 16:56:38.406250
2,-7.01,2021-12-17 16:56:38.421875
3,-19.82,2021-12-17 16:56:38.437500
4,-30.01,2021-12-17 16:56:38.453125
5,-37.33,2021-12-17 16:56:38.468750
6,-41.77,2021-12-17 16:56:38.484375
7,-43.57,2021-12-17 16:56:38.500000
8,-43.15,2021-12-17 16:56:38.515625
9,-41.12,2021-12-17 16:56:38.531250
10,-38.16,2021-12-17 16:56:38.546875
11,-34.87,2021-12-17 16:56:38.562500
12,-31.53,2021-12-17 16:56:38.578125
13,-28.1,2021-12-17 16:56:38.593750
14,-24.28,2021-12-17 16:56:38.609375
15,-19.8,2021-12-17 16:56:38.625000
16,-14.69,2021-12-17 16:56:38.640625
17,-9.38,2021-12-17 16:56:38.656250
18,-4.56,2021-12-17 16:56:38.671875
19,-0.94,2021-12-17 16:56:38.687500
20,0.9,2021-12-17 16:56:38.703125
21,0.75,2021-12-17 16:56:38.718750
22,-1.24,2021-12-17 16:56:38.734375
23,-4.52,2021-12-17 16:56:38.750000
24,-8.4,2021-12-17 16:56:38.765625
25,-12.22,2021-12-17 16:56:38.781250
26,-15.6,2021-12-17 16:56:38.796875
27,-18.39,2021-12-17 16:56:38.812500
28,-20.92,2021-12-17 16:56:38.828125
29,-23.92,2021-12-17 16:56:38.843750
30,-28.08,2021-12-17 16:56:38.859375
31,-33.66,2021-12-17 16:56:38.875000
32,-40.2,2021-12-17 16:56:38.890625
33,-46.79,2021-12-17 16:56:38.906250
34,-52.52,2021-12-17 16:56:38.921875
35,-57.0,2021-12-17 16:56:38.937500
36,-60.22,2021-12-17 16:56:38.953125
37,-62.83,2021-12-17 16:56:38.968750
38,-65.56,2021-12-17 16:56:38.984375
39,-68.74,2021-12-17 16:56:39.000000
40,-71.83,2021-12-17 16:56:39.015625
41,-73.6,2021-12-17 16:56:39.031250
42,-72.7,2021-12-17 16:56:39.046875
43,-68.35,2021-12-17 16:56:39.062500
44,-60.54,2021-12-17 16:56:39.078125
45,-49.55,2021-12-17 16:56:39.093750
46,-36.28,2021-12-17 16:56:39.109375
47,-22.0,2021-12-17 16:56:39.125000
48,-8.18,2021-12-17 16:56:39.140625
49,3.77,2021-12-17 16:56:39.156250
50,12.84,2021-12-17 16:56:39.171875
51,18.6,2021-12-17 16:56:39.187500
52,21.48,2021-12-17 16:56:39.203125
53,20.48,2021-12-17 16:56:39.218750
54,16.66,2021-12-17 16:56:39.234375
55,12.65,2021-12-17 16:56:39.250000
56,11.12,2021-12-17 16:56:39.265625
57,12.81,2021-12-17 16:56:39.281250
58,16.42,2021-12-17 16:56:39.296875
59,20.12,2021-12-17 16:56:39.312500
60,22.94,2021-12-17 16:56:39.328125
61,25.07,2021-12-17 16:56:39.343750
62,26.83,2021-12-17 16:56:39.359375
63,28.72,2021-12-17 16:56:39.375000
64,30.48,2021-12-17 16:56:39.390625
65,31.41,2021-12-17 16:56:39.406250
66,30.96,2021-12-17 16:56:39.421875
67,29.54,2021-12-17 16:56:39.437500
68,28.52,2021-12-17 16:56:39.453125
69,29.46,2021-12-17 16:56:39.468750
70,33.08,2021-12-17 16:56:39.484375
71,37.89,2021-12-17 16:56:39.500000
72,42.11,2021-12-17 16:56:39.515625
73,43.08,2021-12-17 16:56:39.531250
74,39.25,2021-12-17 16:56:39.546875
75,30.79,2021-12-17 16:56:39.562500
76,19.5,2021-12-17 16:56:39.578125
77,8.01,2021-12-17 16:56:39.593750
78,-1.41,2021-12-17 16:56:39.609375
79,-7.79,2021-12-17 16:56:39.625000
80,-12.82,2021-12-17 16:56:39.640625
81,-18.81,2021-12-17 16:56:39.656250
82,-28.25,2021-12-17 16:56:39.671875
83,-43.1,2021-12-17 16:56:39.687500
84,-64.66,2021-12-17 16:56:39.703125
85,-93.35,2021-12-17 16:56:39.718750
86,-128.24,2021-12-17 16:56:39.734375
87,-166.85,2021-12-17 16:56:39.750000
88,-198.16,2021-12-17 16:56:39.765625
89,-213.48,2021-12-17 16:56:39.781250
90,-207.53,2021-12-17 16:56:39.796875
91,-181.07,2021-12-17 16:56:39.812500
92,-141.05,2021-12-17 16:56:39.828125
93,-98.04,2021-12-17 16:56:39.843750
94,-62.04,2021-12-17 16:56:39.859375
