,EDA,time
0,0.719206,2022-10-26 10:26:14.750
1,0.7653369999999999,2022-10-26 10:26:15.000
2,0.742271,2022-10-26 10:26:15.250
3,0.719206,2022-10-26 10:26:15.500
4,0.7051109999999999,2022-10-26 10:26:15.750
5,0.6910149999999999,2022-10-26 10:26:16.000
6,0.6910149999999999,2022-10-26 10:26:16.250
7,0.6884520000000001,2022-10-26 10:26:16.500
8,0.6858890000000001,2022-10-26 10:26:16.750
9,0.683327,2022-10-26 10:26:17.000
10,0.682045,2022-10-26 10:26:17.250
11,0.6794819999999999,2022-10-26 10:26:17.500
12,0.673075,2022-10-26 10:26:17.750
13,0.675638,2022-10-26 10:26:18.000
14,0.670513,2022-10-26 10:26:18.250
15,0.6641050000000001,2022-10-26 10:26:18.500
16,0.660261,2022-10-26 10:26:18.750
17,0.662824,2022-10-26 10:26:19.000
18,0.661543,2022-10-26 10:26:19.250
19,0.661543,2022-10-26 10:26:19.500
20,0.65898,2022-10-26 10:26:19.750
21,0.660261,2022-10-26 10:26:20.000
22,0.660261,2022-10-26 10:26:20.250
23,0.65898,2022-10-26 10:26:20.500
24,0.660261,2022-10-26 10:26:20.750
25,0.661543,2022-10-26 10:26:21.000
26,0.660261,2022-10-26 10:26:21.250
27,0.661543,2022-10-26 10:26:21.500
28,0.65898,2022-10-26 10:26:21.750
29,0.657698,2022-10-26 10:26:22.000
30,0.65898,2022-10-26 10:26:22.250
31,0.657698,2022-10-26 10:26:22.500
32,0.6551359999999999,2022-10-26 10:26:22.750
33,0.653854,2022-10-26 10:26:23.000
34,0.651291,2022-10-26 10:26:23.250
35,0.652573,2022-10-26 10:26:23.500
36,0.653854,2022-10-26 10:26:23.750
37,0.652573,2022-10-26 10:26:24.000
38,0.6500100000000001,2022-10-26 10:26:24.250
39,0.652573,2022-10-26 10:26:24.500
40,0.6500100000000001,2022-10-26 10:26:24.750
41,0.652573,2022-10-26 10:26:25.000
42,0.651291,2022-10-26 10:26:25.250
43,0.651291,2022-10-26 10:26:25.500
44,0.647447,2022-10-26 10:26:25.750
45,0.648729,2022-10-26 10:26:26.000
46,0.646166,2022-10-26 10:26:26.250
47,0.644884,2022-10-26 10:26:26.500
48,0.644884,2022-10-26 10:26:26.750
49,0.639759,2022-10-26 10:26:27.000
50,0.6410399999999999,2022-10-26 10:26:27.250
51,0.6436029999999999,2022-10-26 10:26:27.500
52,0.639759,2022-10-26 10:26:27.750
53,0.6410399999999999,2022-10-26 10:26:28.000
54,0.644884,2022-10-26 10:26:28.250
55,0.6410399999999999,2022-10-26 10:26:28.500
56,0.6436029999999999,2022-10-26 10:26:28.750
57,0.646166,2022-10-26 10:26:29.000
58,0.6500100000000001,2022-10-26 10:26:29.250
59,0.6500100000000001,2022-10-26 10:26:29.500
60,0.6551359999999999,2022-10-26 10:26:29.750
61,0.656417,2022-10-26 10:26:30.000
62,0.65898,2022-10-26 10:26:30.250
63,0.661543,2022-10-26 10:26:30.500
64,0.662824,2022-10-26 10:26:30.750
65,0.661543,2022-10-26 10:26:31.000
66,0.661543,2022-10-26 10:26:31.250
67,0.65898,2022-10-26 10:26:31.500
68,0.661543,2022-10-26 10:26:31.750
69,0.65898,2022-10-26 10:26:32.000
70,0.65898,2022-10-26 10:26:32.250
71,0.657698,2022-10-26 10:26:32.500
72,0.656417,2022-10-26 10:26:32.750
73,0.656417,2022-10-26 10:26:33.000
74,0.653854,2022-10-26 10:26:33.250
75,0.656417,2022-10-26 10:26:33.500
76,0.652573,2022-10-26 10:26:33.750
77,0.651291,2022-10-26 10:26:34.000
78,0.6500100000000001,2022-10-26 10:26:34.250
79,0.652573,2022-10-26 10:26:34.500
80,0.651291,2022-10-26 10:26:34.750
81,0.651291,2022-10-26 10:26:35.000
82,0.6500100000000001,2022-10-26 10:26:35.250
83,0.651291,2022-10-26 10:26:35.500
84,0.6500100000000001,2022-10-26 10:26:35.750
85,0.646166,2022-10-26 10:26:36.000
86,0.646166,2022-10-26 10:26:36.250
87,0.644884,2022-10-26 10:26:36.500
88,0.6436029999999999,2022-10-26 10:26:36.750
89,0.644884,2022-10-26 10:26:37.000
90,0.644884,2022-10-26 10:26:37.250
91,0.6423220000000001,2022-10-26 10:26:37.500
92,0.6410399999999999,2022-10-26 10:26:37.750
93,0.6423220000000001,2022-10-26 10:26:38.000
94,0.6410399999999999,2022-10-26 10:26:38.250
95,0.6423220000000001,2022-10-26 10:26:38.500
96,0.6410399999999999,2022-10-26 10:26:38.750
97,0.639759,2022-10-26 10:26:39.000
98,0.637196,2022-10-26 10:26:39.250
99,0.635915,2022-10-26 10:26:39.500
100,0.6384770000000001,2022-10-26 10:26:39.750
101,0.6384770000000001,2022-10-26 10:26:40.000
102,0.635915,2022-10-26 10:26:40.250
103,0.635915,2022-10-26 10:26:40.500
104,0.633352,2022-10-26 10:26:40.750
105,0.63207,2022-10-26 10:26:41.000
106,0.630789,2022-10-26 10:26:41.250
107,0.630789,2022-10-26 10:26:41.500
108,0.635915,2022-10-26 10:26:41.750
109,0.648729,2022-10-26 10:26:42.000
110,0.6641050000000001,2022-10-26 10:26:42.250
111,0.6858890000000001,2022-10-26 10:26:42.500
112,0.708955,2022-10-26 10:26:42.750
113,0.7384270000000001,2022-10-26 10:26:43.000
