,HR,time
0,68.53,2022-10-28 10:25:04
1,68.65,2022-10-28 10:25:05
2,68.8,2022-10-28 10:25:06
3,68.93,2022-10-28 10:25:07
4,69.07,2022-10-28 10:25:08
5,69.28,2022-10-28 10:25:09
6,69.48,2022-10-28 10:25:10
7,69.73,2022-10-28 10:25:11
8,70.02,2022-10-28 10:25:12
9,70.33,2022-10-28 10:25:13
10,70.58,2022-10-28 10:25:14
11,70.8,2022-10-28 10:25:15
12,70.92,2022-10-28 10:25:16
13,71.08,2022-10-28 10:25:17
14,71.37,2022-10-28 10:25:18
15,71.67,2022-10-28 10:25:19
16,71.92,2022-10-28 10:25:20
17,72.12,2022-10-28 10:25:21
18,72.38,2022-10-28 10:25:22
19,72.68,2022-10-28 10:25:23
20,72.98,2022-10-28 10:25:24
21,73.23,2022-10-28 10:25:25
22,73.52,2022-10-28 10:25:26
23,73.98,2022-10-28 10:25:27
24,74.48,2022-10-28 10:25:28
25,74.97,2022-10-28 10:25:29
26,75.43,2022-10-28 10:25:30
27,75.88,2022-10-28 10:25:31
28,76.37,2022-10-28 10:25:32
29,76.87,2022-10-28 10:25:33
30,77.37,2022-10-28 10:25:34
31,77.85,2022-10-28 10:25:35
32,78.32,2022-10-28 10:25:36
33,78.87,2022-10-28 10:25:37
34,79.42,2022-10-28 10:25:38
35,80.0,2022-10-28 10:25:39
36,80.62,2022-10-28 10:25:40
37,81.18,2022-10-28 10:25:41
38,81.73,2022-10-28 10:25:42
39,82.28,2022-10-28 10:25:43
40,82.78,2022-10-28 10:25:44
41,83.17,2022-10-28 10:25:45
42,83.5,2022-10-28 10:25:46
43,83.85,2022-10-28 10:25:47
44,84.18,2022-10-28 10:25:48
45,84.5,2022-10-28 10:25:49
46,84.87,2022-10-28 10:25:50
47,85.17,2022-10-28 10:25:51
48,85.4,2022-10-28 10:25:52
49,85.62,2022-10-28 10:25:53
50,85.8,2022-10-28 10:25:54
51,85.98,2022-10-28 10:25:55
52,86.28,2022-10-28 10:25:56
53,86.18,2022-10-28 10:25:57
54,86.07,2022-10-28 10:25:58
55,85.95,2022-10-28 10:25:59
56,85.83,2022-10-28 10:26:00
57,85.78,2022-10-28 10:26:01
58,85.72,2022-10-28 10:26:02
59,85.65,2022-10-28 10:26:03
60,85.52,2022-10-28 10:26:04
61,85.33,2022-10-28 10:26:05
62,85.12,2022-10-28 10:26:06
63,84.82,2022-10-28 10:26:07
64,84.48,2022-10-28 10:26:08
65,84.12,2022-10-28 10:26:09
66,83.78,2022-10-28 10:26:10
67,83.47,2022-10-28 10:26:11
68,83.18,2022-10-28 10:26:12
69,82.9,2022-10-28 10:26:13
70,82.63,2022-10-28 10:26:14
71,82.37,2022-10-28 10:26:15
72,82.18,2022-10-28 10:26:16
73,81.92,2022-10-28 10:26:17
74,81.58,2022-10-28 10:26:18
75,81.2,2022-10-28 10:26:19
76,80.85,2022-10-28 10:26:20
77,80.5,2022-10-28 10:26:21
78,80.15,2022-10-28 10:26:22
79,79.8,2022-10-28 10:26:23
80,79.47,2022-10-28 10:26:24
81,79.22,2022-10-28 10:26:25
82,78.97,2022-10-28 10:26:26
83,78.7,2022-10-28 10:26:27
84,78.37,2022-10-28 10:26:28
85,78.0,2022-10-28 10:26:29
86,77.6,2022-10-28 10:26:30
87,77.18,2022-10-28 10:26:31
88,76.7,2022-10-28 10:26:32
89,76.18,2022-10-28 10:26:33
90,75.63,2022-10-28 10:26:34
91,75.08,2022-10-28 10:26:35
92,74.53,2022-10-28 10:26:36
93,73.93,2022-10-28 10:26:37
94,73.33,2022-10-28 10:26:38
95,72.72,2022-10-28 10:26:39
96,72.07,2022-10-28 10:26:40
97,71.43,2022-10-28 10:26:41
98,70.78,2022-10-28 10:26:42
